note,line,fix_type,confidence,old_text,new_text,evidence,rationale
models/Delft3D/source-analysis/delft3d_flow2d3d_inichk_general.md,140,NARROW,HIGH,- **prterr** (`prterr.f90:30-39`): 출력장치에 메시지 인쇄. 메시지 번호(G051/U190/Z013/P004/U021 등)로 빈 메시지/경고/에러 구분. 위 모든 chk*가 검사 실패 시 호출하는 표준 통로.,- **prterr** (`prterr.f90:30-39`): 출력장치에 메시지 인쇄. 메시지 번호(G051/U190/Z013/P004/U021 등)로 빈 메시지/경고/에러 구분. `inichk/chk*.f90` **19개 중 18개**가 검사 실패 시 호출하는 표준 통로다(`chkdry.f90` 만 미호출).,inichk/chk*.f90 19개 중 call prterr 포함 18개,Claude 재작성 — 실측 수치로 대체
models/Delft3D/source-analysis/delft3d_flow2d3d_io.md,190,NARROW,HIGH,"2D/3D 는 `count`/`start` 에 차원·시간 인덱스 추가(`output/wrtarray.f90:222,296`). 즉 모든 grouped 출력이 이 단일 추상화로 NEFIS `putelt` 와 NetCDF `nf90_put_var` 를 동시 지원. restart writer `wrirst` 도 `use wrtarray, only: wrtarray_nm, wrtarray_nmk, wrtarray_nmkl` 로 (n,m)/(n,m,k)/(n,m,k,l) 배열을 쓴다(`output/wrirst.f90:44`), 헤더 ""writes the relevant output arrays to the (single precision) restart file""(`output/wrirst.f90:35-36`).","2D/3D 는 `count`/`start` 에 차원·시간 인덱스 추가(`output/wrtarray.f90:222,296`). 즉 `wrtarray`의 해당 분기를 사용하는 grouped 출력이 이 추상화로 NEFIS `putelt` 와 NetCDF `nf90_put_var` 를 지원한다(`output/wrtarray.f90:132-153`); 다른 grouped 출력의 사용 여부는 확인되지 않았다. restart writer `wrirst` 도 `use wrtarray, only: wrtarray_nm, wrtarray_nmk, wrtarray_nmkl` 로 (n,m)/(n,m,k)/(n,m,k,l) 배열을 쓴다(`output/wrirst.f90:44`), 헤더 ""writes the relevant output arrays to the (single precision) restart file""(`output/wrirst.f90:35-36`).",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/flow2d3d/packages/flow2d3d_io/src/output/wrtarray.f90:132-153,두 백엔드 지원을 확인한 배열 writer의 사용 경로로 한정한다.
models/Delft3D/source-analysis/delft3d_flow2d3d_io.md,207,NARROW,HIGH,"4. **출력 포맷**: 런타임 `getfiletype` 으로 NEFIS(`.dat`/`.def`) 또는 NetCDF(CF-1.6 `.nc`) 선택, 모든 writer 가 REQUESTTYPE_DEFINE→WRITE 2-pass + `wrtarray` generic 추상화로 두 백엔드 동시 지원(`output/wrh_main.f90:327-532`, `output/wrtarray.f90:132-152`).","4. **출력 포맷**: 런타임 `getfiletype` 으로 NEFIS(`.dat`/`.def`) 또는 NetCDF(CF-1.6 `.nc`) 선택, HIS writer 는 REQUESTTYPE_DEFINE→WRITE 2-pass(첫 호출 이후 DEFINE은 건너뜀, `output/wrh_main.f90:360-369`), `wrtarray` generic 은 두 백엔드를 지원한다(`output/wrtarray.f90:132-153`); 다른 writer의 동일 구현 여부는 확인되지 않았다.",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/flow2d3d/packages/flow2d3d_io/src/output/wrh_main.f90:360-369; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/flow2d3d/packages/flow2d3d_io/src/output/wrtarray.f90:132-153,HIS의 2-pass와 배열 writer의 백엔드 지원을 전체 writer로 확대하지 않는다.
models/Delft3D/source-analysis/delft3d_rtc_realtime_control.md,124,NARROW,HIGH,"| 9 | Matlab measure, 항상 활성 (`Chsbmeas.f90:156-168`) | decision parameter 값 |","| 9 | Matlab measure, `CheckMissingValue(RVal, MeasMissingValue(imeas))`가 참일 때 활성 (`Chsbmeas.f90:156-165`) | decision parameter 값 |",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/rtc/packages/rtc_kernel/src/Chsbmeas.f90:156-165,Matlab measure 활성 조건의 결측값 검사를 복원한다.
models/Delft3D/source-analysis/delft3d_rtc_realtime_control.md,126,NARROW,HIGH,"| 11 | **DLL measure**, 항상 활성 (`Chsbmeas.f90:180-191`) | decision parameter 값 |","| 11 | **DLL measure**, `CheckMissingValue(RVal, MeasMissingValue(imeas))`가 참일 때 활성 (`Chsbmeas.f90:180-188`) | decision parameter 값 |",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/rtc/packages/rtc_kernel/src/Chsbmeas.f90:180-188,DLL measure 활성 조건의 결측값 검사를 복원한다.
models/Delft3D/source-analysis/delft3d_utils_libraries.md,194,NARROW,HIGH,- **ec_module** 은 모든 엔진의 강제/경계 보간 공통 게이트. **esmfsm** 은 레거시(FLOW2D3D) 공유메모리.,- **ec_module** 은 강제/경계 보간의 공통 게이트이나 **전 엔진 공통은 아니다** — `dflowfm` 41파일·`flow2d3d` 10파일이 사용하고 `part`·`fbc`·`dsle`·`d_hydro`·`dimr` 은 사용하지 않는다. **esmfsm** 은 레거시(FLOW2D3D) 공유메모리.,"engines_gpl/* 별 ec_module|use m_ec grep: dflowfm 41, flow2d3d 10, 나머지 0",Claude 재작성 — 실측 수치로 대체
models/Delft3D/source-analysis/delft3d_waq_io_preprocess.md,215,NARROW,HIGH,"핵심: 사용자는 물질과 ""ACTIVE_xxx"" 상수만 지정하고, 전처리기가 **프로세스 라이브러리의 입출력 의존 그래프를 풀어** 필요한 모든 1차·2차 프로세스를 자동 선택·정렬·연결한다.","핵심: 사용자가 물질과 ""ACTIVE_xxx"" 상수를 지정하면, 전처리기가 **프로세스 라이브러리의 입출력 관계에 따라** 처리 대상을 정렬한다(`prsort.f90:34-38`). 모델 차원·입력 항목 검사 조건이 있으며(`makbar.f90:115-149`), 필요한 모든 1차·2차 프로세스의 자동 선택·연결은 이 근거로 확인되지 않았다.",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_proc_preprocess/makbar.f90:115-149; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_proc_preprocess/prsort.f90:34-38,입력·차원 조건과 정렬 구현이 보여주는 범위로 자동 처리 설명을 한정한다.
models/Delft3D/source-analysis/delft3d_waq_kernel_integration.md,39,NARROW,HIGH,"`run_integration_schemes` 는 `intsrt` (integration option 번호)로 `select case` 분기 (`integration_schemes.f90:176-238`). A=real workspace, J=integer, C=character 의 단일 거대 버퍼(`waq_data_buffer`)에 모든 배열을 오프셋 인덱스(`ivol`, `iconc`, `iflow`, `iderv` 등)로 슬라이싱해 전달하는 옛 DELWAQ 메모리 모델.","`run_integration_schemes` 는 `intsrt` (integration option 번호)로 `select case` 분기 (`integration_schemes.f90:176-238`). A=real workspace, J=integer, C=character 의 단일 거대 버퍼(`waq_data_buffer`)에 버퍼 관리 대상 배열을 오프셋 인덱스(`ivol`, `iconc`, `iflow`, `iderv` 등)로 슬라이싱해 전달하는 옛 DELWAQ 메모리 모델이다. integration 호출의 buffer 전달은 확인되며(`integration_schemes.f90:176-187`), 별도로 할당하는 `nsegdmp` 등의 배열도 있다(`delwaq1_read_input_data.F90:102-115`).",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_kernel/kernel/integration_schemes.f90:170-188; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_preprocessor/delwaq1_read_input_data.F90:102-115,단일 버퍼 설명을 버퍼 관리 대상 배열로 한정한다.
models/Delft3D/source-analysis/delft3d_waq_kernel_integration.md,238,NARROW,HIGH,"- exchange flux 는 항상 from −= dq / to += dq 의 보존형 누적 (§3.1, `calculate_transport_with_explicit_derivatives.f90:167-168`) → 내부적으로 질량 보존","- regular 내부 exchange flux 는 from −= dq / to += dq 의 보존형 누적 (§3.1, `calculate_transport_with_explicit_derivatives.f90:151-168`) → 이 교환의 양끝 기여는 상쇄된다; 음수 경계 인덱스는 별도 분기로 들어간다(`calculate_transport_with_explicit_derivatives.f90:151-152`).",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_kernel/kernel/integration/calculate_transport_with_explicit_derivatives.f90:149-168,쌍 누적의 보존 설명을 regular 내부 교환 분기로 한정한다.
models/Delft3D/source-analysis/delft3d_waq_process_library.md,22,NARROW,HIGH,"모든 프로세스 루틴은 동일 시그니처를 따른다 (예: `rear.f90:30-32`, `nitrif.f90:31-33`):","프로세스 루틴은 대체로 동일 시그니처를 따른다 — `waq_process/*.f90` **179개 중 171개**가 `subroutine X(process_space_real, …)` 형태다 (예: `rear.f90:30-32`, `nitrif.f90:31-33`):",waq_process/*.f90 179개 중 선두인자 process_space_real 171개,Claude 재작성 — 실측 수치로 대체
models/Delft3D/source-analysis/delft3d_waq_process_library.md,34,NARROW,HIGH,"라이선스 헤더(GPL v3, Stichting Deltares)는 모든 파일 1-22행 동일.","라이선스 헤더(GPL v3, Stichting Deltares)는 `rear.f90:1-22`에서 확인된다. `plastc.f90:1-25`는 module 선언으로 시작하므로 이 헤더가 모든 파일 1-22행에 동일하게 있지는 않다.",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_process/rear.f90:1-22; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/waq/waq_process/plastc.f90:1-25,헤더 존재를 확인한 파일로 범위를 좁히고 반례를 명시한다.
models/Delft3D/source-analysis/delft3d_wave_swan_module.md,134,NARROW,HIGH,"`packages/kernel/src/grmap.f90:grmap(f1,n1,f2,n2,iref,w,np,iprint)` — receiver 격자 모든 점에 대해 provider 값의 **가중평균**을 계산. 헤더 주석 (grmap.f90:33):","`packages/kernel/src/grmap.f90:grmap(f1,n1,f2,n2,iref,w,np,iprint)` — provider 격자 안의 receiver 점에 대해 provider 값의 **가중평균**을 계산하며, 격자 밖 점은 기존 값을 유지한다(`grmap.f90:33-40,70-87`). 헤더 주석 (grmap.f90:33):","models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/wave/packages/kernel/src/grmap.f90:33-40,70-87",보간 범위에서 provider 격자 밖 점의 예외를 복원한다.
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,133,NARROW,HIGH,Full Heat / Equilibrium Temperature 옵션용 — 상층에 항상 고정비율 β 흡수 (Eq 5.16):,"Full Heat / Equilibrium Temperature 옵션용 — 상층의 고정비율 β 흡수는 Equilibrium Temperature 설명에서 명시한다(Eq 5.16, `EFDC_Theory_Document_Ver_12.pdf:PDF pp.77-78`); Full Heat에도 항상 적용되는지는 이 근거로 확인되지 않았다:",models/EFDC/raw/manuals/pdfs/EFDC_Theory_Document_Ver_12.pdf:PDF p.77-78,고정비율 흡수의 항시 적용을 매뉴얼이 명시한 옵션으로 한정한다.
models/EFDC/source-analysis/efdc_gvc_legacy.md,48,NARROW,HIGH,  - `EFDC.CMN` (72 KB) — 전역 `COMMON` 블록 (모든 상태배열·플래그). 모든 서브루틴이 `INCLUDE 'EFDC.PAR'`/`INCLUDE 'EFDC.CMN'` 로 공유 — 모듈/파생형 없는 전형적 F77 글로벌 상태 구조.,  - `EFDC.CMN` (72 KB) — 전역 `COMMON` 블록 (공유 상태배열·플래그). `CSEDSET`은(`csedset.for:19-20`) `INCLUDE 'EFDC.PAR'`/`INCLUDE 'EFDC.CMN'` 로 공유 — 모듈/파생형 없는 전형적 F77 글로벌 상태 구조이다. `LUBKSB`는 인자 배열을 사용한다(`lubksb.for:6-40`); 모든 서브루틴의 공통블록 공유는 성립하지 않는다.,models/EFDC/raw/source_code/EFDC-GVC/lubksb.for:1-40; models/EFDC/raw/source_code/EFDC-GVC/csedset.for:19-20,공통블록 공유를 확인한 루틴으로 한정하고 인자 배열 사용 예외를 명시한다.
models/FUNWAVE/source-analysis/funwave-code-graph.md,23,NARROW,HIGH,"- 모든 모듈이 `PARAM`(MPI 포함)·`GLOBAL` 의존 → **GLOBAL = 전역 상태 허브**(배열 U,V,Eta,H,depth 등 + nesting/dispersion 변수).","- `USE` 를 쓰는 **38개 소스 중 23개**가 `PARAM`·`GLOBAL` 을 함께 의존하고, 나머지는 `GLOBAL` 만 쓰거나(대부분) 어느 쪽도 쓰지 않는다(`mod_param.F` 는 둘 다 없음, `mod_global.F` 는 `PARAM` 만). → **GLOBAL = 전역 상태 허브**(배열 U,V,Eta,H,depth 등 + nesting/dispersion 변수).","src/*.F 중 USE 포함 38개, PARAM+GLOBAL 동시 23개",Claude 재작성 — 실측 수치로 대체
models/LISFLOOD-FP/source-analysis/lisflood-fp-io-boundary.md,68,REPLACE,HIGH,"모든 격자 배열(`H`, `Qx/Qy`는 (xsz+1)×(ysz+1), `maxH`, `DEM`, `ChanMask`/`SegMask` 등) 할당. 솔버별 추가 배열: Roe면 HU/HV/플럭스군(1341-1359), fv1·dg2 전용 할당(1360-1367). `ChanMask`/`SegMask` 초기값 -1(input.cpp:1459-1460). 실제 데이터는 `LoadDEMData`(1502)가 행우선 `fscanf`, **NODATA 셀은 `Parptr->nodata_elevation`로 치환**(input.cpp:1515-1518).","격자 배열을 할당한다(`H`·`maxH`는 xsz×ysz, `Qx/Qy`는 (xsz+1)×(ysz+1); `input.cpp:1339,1369-1372`). 솔버별 추가 배열: Roe면 HU/HV/플럭스군(1341-1359), fv1·dg2 전용 할당(1360-1367). `ChanMask`/`SegMask` 초기값 -1(input.cpp:1459-1460). 실제 데이터는 `LoadDEMData`(1502)가 행우선 `fscanf`, **NODATA 셀은 `Parptr->nodata_elevation`로 치환**(input.cpp:1515-1518).",models/LISFLOOD-FP/raw/source_code/LISFLOOD-FP/input.cpp:1330-1370; models/LISFLOOD-FP/raw/source_code/LISFLOOD-FP/input.cpp:1369-1372,H의 실제 할당 크기가 Qx/Qy와 다르므로 잘못된 크기 설명을 교체한다.
models/LISFLOOD-FP/source-analysis/lisflood-fp-lisflood2-driver.md,152,NARROW,HIGH,"`StartNetCDF_impl`(`:134`): NC_NETCDF4/HDF5, time(unlimited)·y·x·y_edge·x_edge 차원, `LATLONGMODE` 시 lat/lon(`:191-225`). 모든 var deflate(level 1)+shuffle. `_NETCDF != 1` 빌드면 `StartNetCDF`(`:418-433`)가 경고만 출력하고 ascii fallback.","`StartNetCDF_impl`(`:134`): NC_NETCDF4/HDF5, time(unlimited)·y·x·y_edge·x_edge 차원, `LATLONGMODE` 시 lat/lon(`:191-225`). 격자 변수 정의 헬퍼는 deflate+shuffle을 설정한다(`file_tool.cpp:55-82`); time 변수 정의에는 같은 설정이 없다(`file_tool.cpp:169-189`). `_NETCDF != 1` 빌드면 `StartNetCDF`(`:418-433`)가 경고만 출력하고 ascii fallback.","models/LISFLOOD-FP/raw/source_code/LISFLOOD-FP/lisflood2/file_tool.cpp:55-82,169-205",압축 설정 범위를 격자 변수 헬퍼로 한정한다.
models/ROMS/manual-notes/roms-wiki-cppdefs-options.md,36,NARROW,HIGH,→ 사용자가 makefile 에서 `ROMS_APPLICATION = MY_APP` 설정 → 컴파일 시 `my_app.h` 가 자동 include → 그 안의 `#define` 매크로로 모든 옵션 결정.,→ 사용자가 makefile 에서 `ROMS_APPLICATION = MY_APP` 설정 → 컴파일 시 `my_app.h` 가 자동 include → 그 안의 `#define` 매크로로 application의 CPP 옵션을 지정한다(`cppdefs.h.md:7-10`); 별도 입력 스크립트도 있다(`Getting_Started.md:7`).,models/ROMS/raw/manuals/wiki/markdown/cppdefs.h.md:7-10; models/ROMS/raw/manuals/wiki/markdown/Getting_Started.md:7,매크로로 지정하는 범위를 컴파일 시 CPP 옵션으로 한정한다.
models/ROMS/manual-notes/roms-wiki-getting-started.md,145,NARROW,HIGH,"- 모든 옵션 (KPP vs MY25 vs GLS, advection scheme, sediment, biology 등) 은 **CPP 매크로** 로 활성/비활성","- 수치·물리 알고리즘 옵션 (KPP vs MY25 vs GLS, advection scheme, sediment, biology 등) 에 **CPP 매크로** 를 광범위하게 사용해 활성/비활성화한다(`Getting_Started.md:40-44`); 모든 옵션이 CPP로 결정되는지는 이 근거로 확인되지 않았다.",models/ROMS/raw/manuals/wiki/markdown/Getting_Started.md:40-44,원문의 various 알고리즘 옵션과 CPP의 광범위한 사용으로 범위를 좁힌다.
models/ROMS/manual-notes/roms-wiki-getting-started.md,155,REPLACE,HIGH,ROMS 의 모든 NetCDF 변수 정의가 YAML 파일 한 곳에 모임. 출력 단위·long_name·standard_name 일관성.,ROMS 의 `varinfo.yaml`은 변수 메타데이터 정의 파일이다(`Getting_Started.md:7`); NetCDF 정보 변수의 정의는 `def_info.F:11-38`에도 있다. 출력 단위·long_name·standard_name의 전 변수 일관성은 이 근거로 확인되지 않았다.,models/ROMS/raw/manuals/wiki/markdown/Getting_Started.md:7; models/ROMS/raw/source_code/roms/ROMS/Utility/def_info.F:11-38,메타데이터 파일 소개를 모든 NetCDF 정의의 유일한 위치로 오독한 설명을 교체한다.
models/ROMS/source-analysis/roms_adjoint_framework.md,23,NARROW,HIGH,ROMS 의 모든 NL 커널은 **3종 대응물**을 가짐:,"ROMS 의 주요 NL 커널은 **3종 대응물**을 가진다 — `Nonlinear/` **69** `.F` 에 대해 `Tangent/` 54 · `Adjoint/` 65 · `Representer/` 39 로, 대응은 전면적이 아니라 커널별이다(주 드라이버 `tl_main3d.F`·`ad_main3d.F`·`rp_main3d.F` 는 모두 존재):","ls ROMS/{Nonlinear,Tangent,Adjoint,Representer}/*.F = 69/54/65/39",Claude 재작성 — 실측 수치로 대체
