note,line,classification,confidence,evidence,reason
models/Celeris/source-analysis/celeris-render.md,38,SUPPORTED,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/vertex.wgsl:1-19; models/Celeris/raw/source_code/Celeris-WebGPU/shaders/fragment.wgsl:1-71,2D fullscreen quad 문맥에서 vertex는 위치·UV만 전달하고 색 출력은 fragment가 담당한다.
models/Celeris/source-analysis/celeris-render.md,41,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/fragment.wgsl:5-68,열거된 항목 전부가 Globals 필드에 존재한다.
models/Celeris/source-analysis/celeris-render.md,117,OVERCLAIM,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/js/Model_Loaders.js:95-116; models/Celeris/source-analysis/celeris-render.md:94-117,GPU 텍스처 렌더 경로로부터 모든 단계의 시뮬 텍스처 직접 읽기와 실시간 초과 성능까지 일반화했으나 별도 모델 텍스처·CPU 표시 단계가 있고 성능 보장은 제시되지 않는다.
models/Celeris/source-analysis/celeris-sediment.md,27,SUPPORTED,MEDIUM,"models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2643-2646,2687-2700,2777-2780",문맥의 퇴적물 패스 호출과 상태 복사는 useSedTransModel 조건으로 제한된다.
models/Celeris/source-analysis/celeris-sediment.md,104,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/SedTrans_Pass3.wgsl:98-119,인용된 수평 난류확산 블록 전체가 줄 주석이다.
models/Celeris/source-analysis/celeris-source-map.md,201,OVERCLAIM,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/js/Config_Pipelines.js:6-18; models/Celeris/raw/source_code/Celeris-WebGPU/js/Handler_Pass3.js:3-30,main.js가 자원을 선택하는 것과 달리 실제 바인딩 번호·레이아웃은 Handler에서도 정의하므로 전부 main.js가 결정한다는 표현이 강하다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,16,OVERCLAIM,HIGH,"models/Celeris/raw/source_code/Celeris-WebGPU/js/Create_Textures.js:2-13,54-78; models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:561-576",2D 생성 함수는 임의 치수를 인자로 받고 파랑·시계열 입력은 별도 치수이므로 모든 시뮬레이션 텍스처가 WIDTH×HEIGHT라는 일반화는 성립하지 않는다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,22,SUPPORTED,MEDIUM,"models/Celeris/raw/source_code/Celeris-WebGPU/js/Create_Textures.js:2-13; models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:449-462,539-548",인접 표에서 입력·렌더용을 구별한 시뮬 상태 격자 텍스처 범위에서는 같은 2D float 팩토리를 사용한다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,31,OVERCLAIM,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/Create_Textures.js:2-99; models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:225-228; models/Celeris/raw/source_code/Celeris-WebGPU/js/Model_Loaders.js:95-116,헬퍼가 만든 텍스처의 등록·정리만 보장하며 Model_Loaders의 직접 생성 텍스처는 allTextures에 등록되지 않는다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,143,SUPPORTED,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/js/Config_Pipelines.js:6-18,확인한 단일 compute 팩토리는 bind group 하나와 main 진입점을 고정한다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,166,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:224-234,allTextures 집합 전체를 forEach로 순회해 destroy한 뒤 비운다.
models/Celeris/web-refs/celeris-lynett-2026.md,67,NOT_A_CLAIM,HIGH,models/Celeris/web-refs/celeris-lynett-2026.md:64-70,인용 출처를 소개하는 노트 메타 서술이다.
models/Delft3D/manual-notes/delft3d-flow-boundary-forcing.md,38,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.66-67 (인쇄 p.44-45),매뉴얼이 복수 경계에 같은 조건을 적용하지 말라는 원칙과 수위 경계 예외를 함께 설명한다.
models/Delft3D/manual-notes/delft3d-flow-boundary-forcing.md,86,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.478 (인쇄 p.456),원문의 제한 목록에 모든 분조명을 대문자로 쓰도록 명시되어 있다.
models/Delft3D/manual-notes/delft3d-flow-boundary-forcing.md,113,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.77 (인쇄 p.55),평균값 필수 지정과 모든 harmonic 경계의 동일 주파수 조건이 원문에 명시되어 있다.
models/Delft3D/manual-notes/delft3d-flow-boundary-forcing.md,131,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.81 (인쇄 p.59),원문이 선택한 수송량의 경계조건을 항상 시계열로 지정한다고 명시한다.
models/Delft3D/manual-notes/delft3d-flow-physics-numerics.md,175,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.240 (인쇄 p.218),원문이 GLM 속도를 모든 수송 계산에 사용한다고 직접 명시한다.
models/Delft3D/manual-notes/delft3d-flow-physics-numerics.md,226,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-FLOW_User_Manual.pdf:PDF p.303 (인쇄 p.281),eddy viscosity가 항상 직전 반 시간스텝 정보에 기반한다고 원문에 명시되어 있다.
models/Delft3D/manual-notes/delft3d-tide-user-manual.md,28,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-TIDE_User_Manual.pdf:PDF p.11 (인쇄 p.3),버전 1.0의 모든 입력 파일에 다섯 헤더 줄을 요구했다는 표 내용과 일치한다.
models/Delft3D/manual-notes/delft3d-tide-user-manual.md,98,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-TIDE_User_Manual.pdf:PDF p.54 (인쇄 p.46),한 달 자료로 모든 주요 분조를 독립 분해할 수 없다는 한계가 원문에 명시되어 있다.
models/Delft3D/manual-notes/delft3d-tide-user-manual.md,112,SUPPORTED,MEDIUM,models/Delft3D/raw/manuals/pdfs/Delft3D-TIDE_User_Manual.pdf:PDF p.56 (인쇄 p.48),문맥상 도구에서 사용 가능한 분조의 Appendix B 열거를 뜻하며 원문도 같은 범위를 명시한다.
models/Delft3D/manual-notes/delft3d-tide-user-manual.md,118,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-TIDE_User_Manual.pdf:PDF p.56 (인쇄 p.48),충분히 긴 자료라는 조건 아래 세 분조군을 항상 독립 분해하라는 원문 권고와 같다.
models/Delft3D/manual-notes/delft3d-tide-user-manual.md,179,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-TIDE_User_Manual.pdf:PDF p.70 (인쇄 p.62),G(i)의 입력 단위를 반드시 degrees로 지정한다는 원문과 같다.
models/Delft3D/manual-notes/delft3d-tool-manuals.md,18,SCOPE_STATEMENT,HIGH,models/Delft3D/manual-notes/delft3d-tool-manuals.md:15-21,노트에서 사용하는 PDF의 공통 경로 안내다.
models/Delft3D/manual-notes/delft3d-waq-processes-tech-reference.md,22,SCOPE_STATEMENT,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_Processes_Technical_Reference_Manual.pdf:PDF p.17 (인쇄 p.1),매뉴얼이 다루는 라이브러리 프로세스의 수록 범위를 소개한다.
models/Delft3D/manual-notes/delft3d-waq-processes-tech-reference.md,72,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_Processes_Technical_Reference_Manual.pdf:PDF p.46 (인쇄 p.30),재포기 계산의 DO 비음수 제한과 항상 양의 농도 기반이라는 원문 설명에 부합한다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,85,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.214 (인쇄 p.198),폐경계를 모든 시간스텝에서 유량·분산이 0인 경계로 정의한다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,86,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.214 (인쇄 p.198),모든 개경계의 모든 물질과 모든 시간스텝에 농도·분산계수를 지정하도록 원문이 명시한다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,96,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.217 (인쇄 p.201),Continuity 검사의 모든 수원 1 g/m³ 조건과 기대값이 원문에 명시되어 있다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,98,OVERCLAIM,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.217 (인쇄 p.201),원문은 many processes라고만 설명하므로 거의 모든 process 공통이라는 비율 확대를 뒷받침하지 않는다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,121,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.299 (인쇄 p.283),분산계수를 격자로 해상하지 못한 모든 수송의 표현으로 정의한 원문과 같다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,136,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.307 (인쇄 p.291),명시적 스킴의 CFL 조건을 모든 계산 셀에 동시에 적용하라는 원문과 같다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,138,SUPPORTED,HIGH,models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.308 (인쇄 p.292),원문이 반응·소스항의 explicit 처리를 항상이라고 명시하며 2차 RK 예외는 이산화 차수에 관한 것이다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,98,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90:30-62,transport 모듈의 constituent 저장 규약과 각 물질 인덱스 선언이 단일 배열 설명을 뒷받침한다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,124,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowtimes.f90:33-47,주석이 모듈의 시간 좌표를 refdat 기준으로 정의하며 시간 간격 자체까지를 말하는 문맥은 아니다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,164,OVERCLAIM,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90:18-24,주석은 모든 파일을 래퍼로 열어야 한다는 규약일 뿐 실제 모든 NetCDF의 래퍼 경유·추적을 입증하지 않는다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,219,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_manager/flow_externaloutput.F90:86-90,인용된 tim 인자 계약이 이 dispatcher writer들의 s1·q1 사용을 명시한다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,240,OVERCLAIM,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90:18-24,추적 배열과 래퍼 사용 규약만으로 모든 출력 파일이 실제 추적된다고 결론낼 수 없다.
models/Delft3D/source-analysis/delft3d_dflowfm_mdu_input.md,36,UNVERIFIABLE,MEDIUM,인용 근거 파일 없음 (Delft3D PR #900 diff); models/Delft3D/source-analysis/delft3d_dflowfm_mdu_input.md:19-36,인용된 특정 PR #900 diff의 로컬 원문 파일을 찾지 못해 해당 이동 블록의 호출 형식을 대조할 수 없다.
models/Delft3D/source-analysis/delft3d_dflowfm_prepost.md,51,SUPPORTED,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/prepost/flow_geominit.f90:221-225,1부터 numk까지 순회하며 kc가 0이 아닌 모든 노드에 1을 대입한다.
models/Delft3D/source-analysis/delft3d_dflowfm_prepost.md,83,OVERCLAIM,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/prepost/flow_geominit.f90:703-742,lncn 대입은 특정 link 종류의 조건 분기에만 있으므로 모든 link의 설정이라는 표현이 제시한 코드보다 넓다.
models/Delft3D/source-analysis/delft3d_dflowfm_prepost.md,91,SUPPORTED,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/prepost/flow_geominit.f90:801-819,1부터 lnx까지 전체 link 반복문에서 좌표·길이를 계산한다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,22,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90:30-62,문맥에 열거한 수송 scalar 종류가 통합 constituents 배열의 인덱스로 정의되어 있다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,43,OVERCLAIM,MEDIUM,"models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/fill_constituents.f90:89-104,115-160",현재 fill_constituents는 일부 상태를 조건부 복사하고 다른 물질에는 확산계수 등을 설정하므로 모든 scalar를 채운다는 요약은 강하다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,110,SUPPORTED,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/comp_fluxver.f90:157-165,thetavert가 정확히 1일 때 explicit flux 계산을 cycle로 건너뛴다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,195,OVERCLAIM,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_sediment/fm_upwbed.f90:134-145,upwindbedload가 거짓이어도 Lf>Lnxi인 경계는 upwind 분기로 들어가므로 항상 acl 평균은 아니다.
models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,28,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_waveconst.f90:1-40,표에 열거한 jawave 모드 전체와 관련 파력·Stokes 상수가 해당 모듈에 정의되어 있다.
models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,64,NOT_A_CLAIM,HIGH,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md:61-67,항상 성립한다는 주장을 명시적으로 철회하고 분기별 한계를 밝힌 문장이다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,33,SUPPORTED,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/schematization/element.h:38-41,FBC의 모델 요소라는 문맥에서 기반 클래스 주석이 모든 modeling element를 명시한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,52,OVERCLAIM,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/schematization/element.h:96-104; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/timeseries/timeSeriesTensor.h:41-60,solve의 한 스텝 상태벡터 인터페이스를 전체 시계열 저장구조로 확장했으나 시계열에는 앙상블 tensor도 존재한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,60,SUPPORTED,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/rtcToolsSimulator.cpp:85-91,numberOfRules 전체 반복문에서 stateTransfer를 호출한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,61,SUPPORTED,HIGH,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/rtcToolsSimulator.cpp:110-124,전체 trigger의 deactivate 반복 뒤 별도 전체 solve 반복을 실행한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,62,OVERCLAIM,MEDIUM,models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/rtcToolsSimulator.cpp:110-124; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/schematization/element.h:90-104,이 trigger 단계에서 비활성화되지 않는다는 주석만으로 다른 초기상태·경로와 무관하게 항상 활성이라고 단정할 수 없다.
