model,repository,evidence_status,claimed_commit_or_tag,current_local_commit,match,evidence_file,evidence_lines,evidence_type,confidence,notes
Delft3D,Delft3D,EXPLICIT_MATCH,513eccdbe249919b3e5e62063dc91eb9fdf2347f,513eccdbe249919b3e5e62063dc91eb9fdf2347f,yes,_staging/total-read/PROVENANCE.json,133-137,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
Delft3D,hydromt_delft3dfm,EXPLICIT_MATCH,1f3dead6972eeb65dae2a136dd9e2330555f450f,1f3dead6972eeb65dae2a136dd9e2330555f450f,yes,_staging/total-read/PROVENANCE.json,125-129,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
EFDC,EFDC-GVC,EXPLICIT_MATCH,68dc93fa04c48a785bbe3136e1784ceca2a7a20f,68dc93fa04c48a785bbe3136e1784ceca2a7a20f,yes,_staging/total-read/PROVENANCE.json,152-156,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/EFDC/manifest.md:18 (full SHA, 2026-07-04 provenance 절)."
EFDC,EFDCPlus_Stable,EXPLICIT_MATCH,3ed76b6eb1263921ba99bf23b66bb85c1a5feac1,3ed76b6eb1263921ba99bf23b66bb85c1a5feac1,yes,_staging/total-read/PROVENANCE.json,160-164,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/EFDC/manifest.md:17 (full SHA, EFDCPlus_12.4, 2026-07-04)."
FUNWAVE,FUNWAVE-GPU,EXPLICIT_MATCH,7f892bad51c1fecdcc8c45ab6694b997684ac143,7f892bad51c1fecdcc8c45ab6694b997684ac143,yes,_staging/total-read/PROVENANCE.json,187-191,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=55; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: _staging/total-read/model-audit/FUNWAVE/connectivity-preflight/REPORT.md:16; models/FUNWAVE/source-analysis/funwave-build-and-blackwell-port.md:5,19,32-44 (2026-06-12, TVD v3.3 기반/로컬 포팅). dirty 수는 기록값 그대로이며 수정/미추적 내역과 현재 상태는 조사하지 않음; Claude 판단 필요."
FUNWAVE,FUNWAVE-TVD,EXPLICIT_MATCH,b4c322e7582035ee19df8e6409a3dfedaff1cb96,b4c322e7582035ee19df8e6409a3dfedaff1cb96,yes,_staging/total-read/PROVENANCE.json,179-183,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=5; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: _staging/total-read/model-audit/FUNWAVE/connectivity-preflight/REPORT.md:16; models/FUNWAVE/source-analysis/funwave-build-and-blackwell-port.md:5,18 (2026-06-12, v3.6). dirty 수는 기록값 그대로이며 수정/미추적 내역과 현재 상태는 조사하지 않음; Claude 판단 필요."
LISFLOOD-FP,LISFLOOD-FP,CONFLICTING_EVIDENCE,v8.2,UNKNOWN,n-a,models/LISFLOOD-FP/manifest.md,"3,9-15",tag,medium,"대표행. Zenodo DOI 10.5281/zenodo.13121102, 2024-07-29 v8.2 배포본 취득 기록(2026-06-18). 판독 기록에 8.1.0 헤더도 존재하므로 표기 충돌을 보존. 기존 기록은 stale 헤더로 이미 정정했다고 명시하므로 미해결 snapshot 충돌을 확정하지 않음. 현재 SHA UNKNOWN. Claude 판단 필요."
LISFLOOD-FP,LISFLOOD-FP,CONFLICTING_EVIDENCE,8.1.0 (source header); v8.2 (corpus),UNKNOWN,n-a,_staging/total-read/PROVENANCE.md,28-32,file-line,medium,추가 충돌 근거행. VersionHistory.h:16-19의 8.1.0 및 2020-07 8.0.1 이력 중단을 2026-07-21 기록이 인용. 동일 기록은 실제 코퍼스 v8.2/사용자 지적으로 정정이라고 설명한다. raw 직접 확인 안 함. Claude 판단 필요.
ROMS,WRF,EXPLICIT_MATCH,ee6e88c9e0507e8d88e35187a618f617a885ca39,ee6e88c9e0507e8d88e35187a618f617a885ca39,yes,_staging/total-read/PROVENANCE.json,264-268,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=Coupling (현재 Coupling); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms,EXPLICIT_MATCH,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,yes,_staging/total-read/PROVENANCE.json,240-244,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=develop (현재 develop); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms-jedi,EXPLICIT_MATCH,8b0d52b39fce8677a03c8265e409045cc34a7ff0,8b0d52b39fce8677a03c8265e409045cc34a7ff0,yes,_staging/total-read/PROVENANCE.json,224-228,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=develop (현재 develop); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms_eccofs,EXPLICIT_MATCH,0259dbb7b37b152b22a96728d3f854369f04dd23,0259dbb7b37b152b22a96728d3f854369f04dd23,yes,_staging/total-read/PROVENANCE.json,248-252,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=develop (현재 develop); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms_libs,EXPLICIT_MATCH,3b40351dfdb84d3e4a213dd31179cffe4a73cbdc,3b40351dfdb84d3e4a213dd31179cffe4a73cbdc,yes,_staging/total-read/PROVENANCE.json,256-260,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms_matlab,EXPLICIT_MATCH,58c108c013b082fefd10807c02027cdb7bd2b63d,58c108c013b082fefd10807c02027cdb7bd2b63d,yes,_staging/total-read/PROVENANCE.json,216-220,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ROMS,roms_test,EXPLICIT_MATCH,91433821654e5b80015c33f2e46761676ac19c50,91433821654e5b80015c33f2e46761676ac19c50,yes,_staging/total-read/PROVENANCE.json,232-236,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
SFINCS,sfincs,UNVERIFIED_BASELINE,1f1d8286520a8709b2e513854dff18a3616583db; v2.4.0_Galibier_release,UNKNOWN,n-a,models/SFINCS/manifest.md,21,sha,medium,"2026-06-27 기록은 태그 clone SHA와 당시 raw/source/src diff -rq=0을 명시한다. 현재 manifest는 .git 부재로 UNKNOWN; 과거 소스 하위트리 대조를 현재 전체 snapshot 일치로 확대하지 않음. manifest.md:9,13 및 README.md:23의 main HEAD 2026-06-18/태그 미기록 문구는 이전 취득 기록으로 보이며 다른 commit임을 입증하지 않음. _staging/total-read/PROVENANCE.md:23도 Galibier. Claude 판단 필요."
SWAN,swan,EXPLICIT_MATCH,55441526ec4330338f05d148759fc66f6fc7fb9d,55441526ec4330338f05d148759fc66f6fc7fb9d,yes,_staging/total-read/PROVENANCE.json,293-297,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/SWAN/source-analysis/swan-setup-solver-swancom1-crosswalk.md:8,151 (v41.51 raw clone); tag-to-SHA 직접 연결 아님."
SWASH,swash,EXPLICIT_MATCH,a486d5f9ae56edf579ea95d1dbbaf84b91e73a89,a486d5f9ae56edf579ea95d1dbbaf84b91e73a89,yes,_staging/total-read/PROVENANCE.json,312-316,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/SWASH/source-analysis/swash-initialization-grid.md:49 (SwashInit.ftn90:79 VERNUM=12.01); tag-to-SHA 직접 연결 아님.
ShorelineS,shorelines,EXPLICIT_MATCH,7bf4481ab84c635033ef475fa648a1b09cf9f36b,7bf4481ab84c635033ef475fa648a1b09cf9f36b,yes,_staging/total-read/PROVENANCE.json,331-335,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/ShorelineS/README.md:16; models/AUDIT-LEDGER.md:353 (full SHA, depth-1 clone 2026-07-17)."
XBeach,trunk,CONFLICTING_EVIDENCE,SVN r6155 (trunk),UNKNOWN,n-a,models/XBeach/manifest.md,"3,9",phrase,medium,"대표행. 취득일 2026-05-03, export revision 6155 (2026-04-23), .svn 없음. 2026-07-21 provenance는 r5583을 기재. 파일별 $Revision$과 전체 export revision은 다를 수 있으므로 서로 다른 소스 트리라고 확정하지 않음. 현재 SHA UNKNOWN. Claude 판단 필요."
XBeach,trunk,CONFLICTING_EVIDENCE,SVN r5583 (trunk),UNKNOWN,n-a,_staging/total-read/PROVENANCE.md,24,file-line,medium,추가 충돌 근거행. configure.ac:3의 $Revision: 5583 $를 SVN snapshot 버전 근거로 사용한 기록. r6155 export 기록과 표기 충돌; 파일 마지막 변경 revision일 가능성은 검증하지 않음. Claude 판단 필요.
