finding_id,work_id,representation_path,reported_lines,class,finding,canonical_group,disposition,current_canonical_coverage,cross_format_duplicate_candidate,duplicate_confidence,cross_format_duplicate_score,physical_pdf_pages,printed_pages_or_frontmatter,page_map_status,mapped_token_fraction,candidate_canonical_routes,source_code_adjudication_topics,source_code_adjudications_json
XH044,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2190-2196,documented_jonswap_defaults,"JONSWAP defaults are 'Hm0=0 m', 'fp=0.08 Hz', 'gammajsp=3.3', 's=10', 'mainang=270°', 'fnyq=0.3 Hz' and 'dfj=fnyq/200'.",wave-boundary-spectra,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH077,probable,0.5416,63;64;68,61;62;66,cross-format-retrieval-candidate,0.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_wave_boundary_generation.md;models/XBeach/source-analysis/wave/xbeach_wave_boundary.md;models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md;models/XBeach/source-analysis/xbeach_swan_handoff.md,,[]
XH045,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2269-2287,documented_wind_sediment_defaults,"Defaults are 'Cd=0.002', 'rhoa=1.25 kg/m³', 'windv=0', 'D15=0.00015 m', 'D50=0.0002 m', 'D90=0.0003 m', layer thicknesses '0.1 m', 'nd=3', 'ngd=1', 'por=0.4' and 'rhos=2650 kg/m³'.",sediment-transport,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH080,high,0.7346,43;78;79,41;76;77,cross-format-retrieval-candidate,0.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_intrawave_sediment_transport.md,,[]
XH046,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2574-2595,documented_numerical_defaults,"Defaults include 'CFL=0.7', stationary 'maxerror=5e−5 m' and 'maxiter=500', 'scheme=upwind_2', 'beta=0.1', 'roller=1', 'cats=4 Trep', 'hwci=0.1 m', 'eps=0.005 m', 'hmin=0.2 m' and 'secorder=0'.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH085,high,0.7825,100;101;108;109;110,98;99;106;107;108,cross-format-mapped,0.935593,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH047,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2599-2631,documented_transport_defaults,"Transport defaults include 'Tsmin=0.5 s', 'facAs=facSk=facua=0.1', 'form=vanthiel_vanrijn', 'reposeangle=30°', 'tsfac=0.1', 'turb=bore_averaged', 'waveform=vanthiel', 'z0=0.006 m', 'cmax=0.1', 'sourcesink=0' and 'thetanum=1'.",sediment-transport,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH086,high,0.8215,111;112;113;114,109;110;111;112,cross-format-mapped,0.92967,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_intrawave_sediment_transport.md,,[]
XH048,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2633-2638,documented_layer_defaults,"Bed-layer controls default to 'frac_dz=0.7', merge threshold '0.01', split threshold '1.01' and variable-layer index '2'.",morphology-bed-composition-avalanching,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH087,high,0.6273,116,114,cross-format-mapped,0.922078,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_avalanching.md;models/XBeach/source-analysis/xbeach-morphology-foundation.md,,[]
XH049,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2640-2653,documented_groundwater_defaults,"Groundwater defaults include aquifer bottom '−10 m', 'dwetlayer=0.1 m', 'gw0=0 m', 'gwReturb=100', parabolic head, laminar flow, hydrostatic pressure and 'kx=ky=kz=0.0001 m/s'.",groundwater,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH088,high,0.6812,116;117,114;115,cross-format-mapped,0.782383,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_groundwater.md,,[]
XH050,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2655-2669,documented_nonhydrostatic_defaults,"Non-hydrostatic defaults include 'Topt=10 s', 'breakviscfac=1.5', 'breakvisclen=1', 'dispc=1', 'maxbrsteep=0.6', 'nhbreaker=2', 'solver=tridiag', 'solver_acc=0.005', 'solver_maxit=30' and 'solver_urelax=0.92'.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH089,high,0.7888,118;119,116;117,cross-format-mapped,0.868132,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH051,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2671-2676,documented_coriolis_mpi_defaults,"The tables specify 'lat=0°', 'wearth=0.0417 hour⁻1' defined as reciprocal rotation time, and MPI defaults 'mpiboundary=auto', 'mmpi=2', 'nmpi=4'.",build-mpi-version,add-source-and-version-scoped-manual-fact,gap,XH090,high,0.7423,119;120,117;118,cross-format-mapped,0.946809,models/XBeach/source-analysis/xbeach_infrastructure.md;PROPOSED: models/XBeach/manual-notes/xbeach-document-version-drift.md,,[]
XH052,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"313-326,344-390",applicability,"One-dimensional operation uses ny=0 and one directional bin with snells=1, stationary mode omits infragravity motions, and non-hydrostatic sandy-beach morphology is described as unvalidated.",morphology-bed-composition-avalanching,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH001,probable,0.3375,11;12;13;14;15;16,9;10;11;12;13;14,direct-pdf-representation,0.976223,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_avalanching.md;models/XBeach/source-analysis/xbeach-morphology-foundation.md,,[]
XH053,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"470,5085-5087",contradiction,"The physics prose says wci=1 disables wave-current interaction, whereas the parameter table gives wci=0 as the default disabling switch.",wave-action-breaking-roller-friction,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH003,high,0.8162,18;109,16;107,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_wave_action_balance.md;models/XBeach/source-analysis/xbeach_wave_breaking.md;models/XBeach/source-analysis/xbeach_wave_functions.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,wci,"[{""canonical_ready_ko"": ""기록된 소스 snapshot의 surfbeat 경로에서 wci=1은 흐름에 따른 파랑 굴절/수심 처리를 활성화하고, 0은 흐름 유속 기울기를 0으로 둔다. 입력 기본값은 0이다. 문서의 wci=1을 no interaction으로 설명한 문구를 현재 구현 설명으로 사용하지 않는다."", ""evidence"": [{""line_end"": 138, ""line_start"": 131, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/wave_instationary.F90"", ""sha256"": ""9584b6ec2138353aba65991a4ec570b4b794554485cea43915c6071e9e2ed45a""}, {""line_end"": 177, ""line_start"": 167, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/wave_instationary.F90"", ""sha256"": ""9584b6ec2138353aba65991a4ec570b4b794554485cea43915c6071e9e2ed45a""}, {""line_end"": 674, ""line_start"": 669, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}], ""finding_binding"": {""finding_exact"": ""The physics prose says wci=1 disables wave-current interaction, whereas the parameter table gives wci=0 as the default disabling switch."", ""finding_id"": ""XH053"", ""finding_sha256"": ""258af82a5ac387feb8d18f0f3d7bcd129e45481aa517753345a893c0ecc46f1b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The prose associates 'wci=1' with no wave-current interaction, whereas the parameter table describes wci as enabling interaction and gives default '0'."", ""finding_id"": ""XH003"", ""finding_sha256"": ""ee356c93be53cb3abfe9a25c5aa6fa15f9eaa5b18b51fab8fc5d25458468d0f8"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The physics prose says wci=1 disables wave-current interaction, whereas the parameter table gives wci=0 as the default disabling switch."", ""finding_id"": ""XH053"", ""finding_sha256"": ""258af82a5ac387feb8d18f0f3d7bcd129e45481aa517753345a893c0ecc46f1b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The wave-action prose associates wci=1 with no interaction, whereas the exercise and parameter table associate it with enabled interaction."", ""finding_id"": ""XH097"", ""finding_sha256"": ""ec58c60aa98007f12e5db0419a51ef8acfeb353e710cd6f21e16e87d13a79bec"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The physics text associates wci=1 with no wave-current interaction, whereas the parameter table describes switching interaction on and gives default wci=0."", ""finding_id"": ""XH131"", ""finding_sha256"": ""fb2255b28d1c8bf409df74f74c05aa155f8e62eb2704fb4f99da672e8691b469"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH003"", ""XH053"", ""XH097"", ""XH131""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""wci""}]"
XH054,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"613,1962,3152-3154",contradiction,"The physics prose calls Tm01switch=1 the default, but the parameter table gives 0.",parameter-defaults-mixed,document-both-source-statements-as-an-internal-conflict; do-not-select-a-value,conflict-register-addition-required,XH004,high,0.7681,20;36;61,18;34;59,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_params.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,,[]
XH055,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"613-691,3668-3730",documented_fact,"Breaking defaults include break=roelvink2, alpha=1, gamma=0.55, gamma2=0.3, gammax=2 and n=10, while the cited calibration concerns roelvink1 and the text distinguishes H³/h from H² dissipation scaling.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH005,high,0.6762,20;75;76,18;73;74,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH056,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"811,827-885",documented_fact,"The text gives uorb=πHrms/(Tp sinh(kh)), frictional dissipation coefficients 0.21 for wave groups and 0.28 for stationary waves, and reef wave-friction factors potentially at least 10 times the current-friction factor.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,,unresolved,0.2369,21;22,19;20,direct-pdf-representation,0.940653,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH057,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"1018-1123,1188",documented_fact,"The alternative waveform uses eight harmonics, w=1 for skewness and w=0 for asymmetry, and the Ruessink option is incompatible with bore-averaged turbulence.",wave-action-breaking-roller-friction,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH007,high,0.6305,24;25,22;23,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_wave_action_balance.md;models/XBeach/source-analysis/xbeach_wave_breaking.md;models/XBeach/source-analysis/xbeach_wave_functions.md,,[]
XH058,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"1226-1236,1280-1292",documented_fact,The manual gives roller dissipation Dr=2gβrEr/c and GLM velocities uL=uE+uS and vL=vE+vS with Stokes components proportional to Ew/(ρhc).,nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,,unresolved,0.2486,26;27,24;25,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH059,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"1373,3758-3772",contradiction,"The Smagorinsky description treats nuh=0.1 as a dimensionless coefficient, whereas its parameter table assigns nuh units of m²/s.",flow-friction-viscosity,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH008,probable,0.5475,27;77,25;75,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,nuh,"[{""canonical_ready_ko"": ""nuh는 smag 분기에 따라 의미가 달라진다. smag=1에서 par%nuh는 무차원 Smagorinsky 계수로 제곱되어 격자면적·변형률에 곱해지고, smag=0에서는 출력 점성계수 s%nuh에 직접 대입되어 m²/s 값으로 쓰인다. 해당 snapshot 입력 기본값은 nuh=0.1, smag=1이다. s%nuh 출력의 단위와 par%nuh 입력의 조건부 단위를 구분한다."", ""evidence"": [{""line_end"": 377, ""line_start"": 365, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 1023, ""line_start"": 1008, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 1062, ""line_start"": 1047, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 748, ""line_start"": 743, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}], ""finding_binding"": {""finding_exact"": ""The Smagorinsky description treats nuh=0.1 as a dimensionless coefficient, whereas its parameter table assigns nuh units of m²/s."", ""finding_id"": ""XH059"", ""finding_sha256"": ""8cebacefbced2769bf64ed6098b87b15d7592f15a6fcb5f9402c6be1e9430914"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The prose identifies 'nuh=0.1' as the dimensionless Smagorinsky constant when 'smag=1', but the table labels the same input as background viscosity in m²/s."", ""finding_id"": ""XH008"", ""finding_sha256"": ""7b02b86d2485948aff3e766b0f50ccf1b293176f1837781ad12fd17a29eee13b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The Smagorinsky description treats nuh=0.1 as a dimensionless coefficient, whereas its parameter table assigns nuh units of m²/s."", ""finding_id"": ""XH059"", ""finding_sha256"": ""8cebacefbced2769bf64ed6098b87b15d7592f15a6fcb5f9402c6be1e9430914"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""Typical Chezy C=55, Manning n=0.02 and ks=0.01–0.15 m conflict with default chezy/bedfriccoef=0.01, changed from Kingsday 0.003, while nuh=0.1 is described both as a Smagorinsky constant and dimensional viscosity."", ""finding_id"": ""XH100"", ""finding_sha256"": ""7ff3d3b0c111ba454ed89b506c8e80c0efff9873cb38a56ae3b6b174c67492fd"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The text gives Chezy C=55 and Manning n=0.02, while the default bedfriccoef is 0.01 rather than Kingsday's 0.003 and nuh=0.1 is described both as a coefficient and as a dimensional viscosity."", ""finding_id"": ""XH135"", ""finding_sha256"": ""07ad19ea57c3ab7f209570a9601bb0e673dca02e147bed5149643301fa4dc9aa"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH008"", ""XH059"", ""XH100"", ""XH135""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""nuh""}]"
XH060,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"1413-1482,3742-3754",contradiction,"The prose gives cf=0.003 and Chezy C=55 with cf=g/C², but the table pairs default bedfriction=chezy with bedfriccoef=0.003.",flow-friction-viscosity,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH009,high,0.7107,28;29;77,26;27;75,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,bedfriction,"[{""canonical_ready_ko"": ""마찰 파일을 쓰지 않는 조건에서 기본 계수는 선택한 마찰식에 종속된다: Chezy는 55, cf는 0.003, Manning은 0.02, White-Colebrook은 0.01이다. Chezy 분기는 g/C²로 cf를 계산하므로 Chezy C에 0.003을 넣는 것은 cf=0.003과 동등하지 않다. 문서 변환으로 깨진 마찰 공식은 이 소스식으로 원문을 복원했다고 주장하지 않고 별도 제외한다."", ""evidence"": [{""line_end"": 727, ""line_start"": 707, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}, {""line_end"": 75, ""line_start"": 68, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/bedroughness.F90"", ""sha256"": ""508ccef2919d203a716f831f4ffd80a57068562eab747a00a94da802a840dfef""}], ""finding_binding"": {""finding_exact"": ""The prose gives cf=0.003 and Chezy C=55 with cf=g/C², but the table pairs default bedfriction=chezy with bedfriccoef=0.003."", ""finding_id"": ""XH060"", ""finding_sha256"": ""c1854c066319a31f4ec22c996427b910710e17301f62934c218fa135bc5bcc4c"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The friction table pairs 'chezy' with '55 m½/s' and 'cf' with '0.003', but the input table defaults to 'bedfriction=chezy' and 'bedfriccoef=0.003'."", ""finding_id"": ""XH009"", ""finding_sha256"": ""00d69e076c2179faab7bec3d67de4522696dcc50a673d696cf4a19d6d2d1a07e"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The prose gives cf=0.003 and Chezy C=55 with cf=g/C², but the table pairs default bedfriction=chezy with bedfriccoef=0.003."", ""finding_id"": ""XH060"", ""finding_sha256"": ""c1854c066319a31f4ec22c996427b910710e17301f62934c218fa135bc5bcc4c"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""Typical Chezy C=55, Manning n=0.02 and ks=0.01–0.15 m conflict with default chezy/bedfriccoef=0.01, changed from Kingsday 0.003, while nuh=0.1 is described both as a Smagorinsky constant and dimensional viscosity."", ""finding_id"": ""XH100"", ""finding_sha256"": ""7ff3d3b0c111ba454ed89b506c8e80c0efff9873cb38a56ae3b6b174c67492fd"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The text gives Chezy C=55 and Manning n=0.02, while the default bedfriccoef is 0.01 rather than Kingsday's 0.003 and nuh=0.1 is described both as a coefficient and as a dimensional viscosity."", ""finding_id"": ""XH135"", ""finding_sha256"": ""07ad19ea57c3ab7f209570a9601bb0e673dca02e147bed5149643301fa4dc9aa"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The extracted friction formulas show cf=g/C and a Manning exponent of 1/12, differing from expected squared-C notation and Kingsday's 1/3 exponent, requiring verification against the original equations before use."", ""finding_id"": ""XH136"", ""finding_sha256"": ""c3150634994a4b05ea608a625be7efa726de2db5ed104f63b28894a74ac81cdc"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH009"", ""XH060"", ""XH100"", ""XH135"", ""XH136""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""bedfriction""}]"
XH061,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,1413-1482,documented_fact,"Other friction defaults are Manning n=0.02, White-Colebrook roughness 0.01 m and D90=0.0003 m, with Manning cf=gn²/h^(1/3) and grain roughness ks=3D90.",flow-friction-viscosity,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH010,high,0.6135,28;29,26;27,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH062,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,1628-1884,applicability,"Groundwater exchange is omitted from momentum, infiltration is instantaneous, aquifer-bottom flux is zero, and the non-hydrostatic groundwater option approximates rather than resolves vertical profiles.",groundwater,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,,unresolved,0.2576,31;32;33;34;35,29;30;31;32;33,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_groundwater.md,,[]
XH063,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,"1894-1920,5250",contradiction,"The adaptation-time equation uses Ts=max(fTs h/ws,Tsmin), whereas the parameter description prints Ts=tsfac+h/ws, an operator discrepancy requiring original-page verification.",parameter-defaults-mixed,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,,unresolved,0.2795,35;36;113,33;34;111,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_params.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,adaptation-time,"[{""canonical_ready_ko"": ""기록된 구현은 먼저 Ts=tsfac*hloc/w를 계산하고 oldTsmin=1이면 max(Ts,Tsmin), 그 밖에는 max(Ts,dtlimTs*dt)를 취한다. 더하기가 아니다. snapshot의 oldTsmin 기본값은 0, dtlimTs는 5이며 이 조건에서 Tsmin을 공통 고정 하한이라고 설명하지 않는다."", ""evidence"": [{""line_end"": 1513, ""line_start"": 1506, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/morphevolution.F90"", ""sha256"": ""765f474008f7cb843353dc0790cc3f3ebdc00631353da7592e2bb0508e968391""}, {""line_end"": 1425, ""line_start"": 1420, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}], ""finding_binding"": {""finding_exact"": ""The adaptation-time equation uses Ts=max(fTs h/ws,Tsmin), whereas the parameter description prints Ts=tsfac+h/ws, an operator discrepancy requiring original-page verification."", ""finding_id"": ""XH063"", ""finding_sha256"": ""f25b8e217e5a374f6d649c1c46f87b6af8d95ebfee43ea74769135f39a6f2911"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The adaptation-time equation uses Ts=max(fTs h/ws,Tsmin), whereas the parameter description prints Ts=tsfac+h/ws, an operator discrepancy requiring original-page verification."", ""finding_id"": ""XH063"", ""finding_sha256"": ""f25b8e217e5a374f6d649c1c46f87b6af8d95ebfee43ea74769135f39a6f2911"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The adaptation-time formulation uses max(fTs*h/ws,Tsmin), but the parameter table prints tsfac+h/ws with default tsfac=0.1."", ""finding_id"": ""XH138"", ""finding_sha256"": ""6a8c66c632cc158f0a7cb3ef3bbac1ab580742b27c61100cf0d7b919eccc1c8c"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH063"", ""XH138""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""adaptation-time""}]"
XH064,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.md,1988-2055,documented_fact,"Sediment stirring adds 1.45kb to squared orbital velocity, hindered settling uses wsred=(1-C)^αws, and each bed/suspended equilibrium component is capped at 0.5Cmax.",sediment-transport,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH007,probable,0.3135,37,35,direct-pdf-representation,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_intrawave_sediment_transport.md,,[]
